hardware,embedding_index,gate_name,probability
algiers,0,X,0.999665
algiers,1,X,0.998596
almaden,0,U3,0.998655
almaden,1,U3,0.992580
athens,0,X,0.999434
athens,1,X,0.999536
auckland,0,X,0.999620
auckland,1,X,0.999358
belem,0,X,0.999654
belem,1,X,0.999503
boeblingen,0,U3,0.999250
boeblingen,1,U3,0.997555
bogota,0,X,0.999699
bogota,1,X,0.998467
brisbane,0,X,0.788621
brisbane,1,X,0.999656
brooklyn,0,X,0.999581
brooklyn,1,X,0.992362
burlington,0,U3,0.999062
burlington,1,U3,0.998223
cairo,0,X,0.999599
cairo,1,X,0.989396
cambridge,0,U3,0.998646
cambridge,1,U3,0.995982
casablanca,0,X,0.998653
casablanca,1,X,0.999305
cusco,0,X,0.999709
cusco,1,X,0.999646
essex,0,U3,0.997633
essex,1,U3,0.997219
fez,0,X,0.999681
fez,1,X,0.999553
geneva,0,X,0.999443
geneva,1,X,0.998956
guadalupe,0,X,0.999396
guadalupe,1,X,0.999625
hanoi,0,X,0.999722
hanoi,1,X,0.999709
jakarta,0,X,0.999571
jakarta,1,X,0.999587
johannesburg,0,U3,0.997097
johannesburg,1,U3,0.997450
kawasaki,0,X,0.999524
kawasaki,1,X,0.999640
kolkata,0,X,0.997151
kolkata,1,X,0.999796
kyiv,0,X,0.999638
kyiv,1,X,0.999861
kyoto,0,X,0.999802
kyoto,1,X,0.998978
lagos,0,X,0.999571
lagos,1,X,0.999558
lima,0,X,0.999729
lima,1,X,0.998982
london,0,U3,0.998846
london,1,U3,0.998724
makarresh,0,X,0.999126
makarresh,1,X,0.981302
melbourne,0,X,0.999372
melbourne,1,X,0.997511
manhattan,0,X,0.998781
manhattan,1,X,0.999506
manila,0,X,0.998881
manila,1,X,0.999682
montreal,0,X,0.999759
montreal,1,X,0.999658
mumbai,0,X,0.999670
mumbai,1,X,0.999734
nairobi,0,X,0.999405
nairobi,1,X,0.999203
osaka,0,X,0.930751
osaka,1,X,0.999795
oslo,0,X,0.999610
oslo,1,X,0.999622
ourense,0,X,0.999548
ourense,1,X,0.999411
paris,0,X,0.999389
paris,1,X,0.999513
perth,0,X,0.999203
perth,1,X,0.999404
poughkeepsie,0,U3,0.978034
poughkeepsie,1,U3,0.997840
prague,0,X,0.998816
prague,1,X,0.999890
quito,0,X,0.996524
quito,1,X,0.997602
rochester,0,U3,0.997569
rochester,1,U3,0.990412
rome,0,X,0.999655
rome,1,X,0.999532
santiago,0,X,0.999613
santiago,1,X,0.999733
singapore,0,U3,0.998676
singapore,1,U3,0.999004
sydney,0,X,0.999709
sydney,1,X,0.999444
torino,0,X,0.999308
torino,1,X,0.973927
toronto,0,X,0.998319
toronto,1,X,0.999604
valencia,0,X,0.999525
valencia,1,X,0.999106
vigo,0,X,0.999380
vigo,1,X,0.999400
washington,0,X,0.999331
washington,1,X,0.999615
yorktown,0,X,0.999406
yorktown,1,X,0.995158
perfect_hardware,0,X,0.000000
